Feature,Importance
Age,1.1879163403398743
Genetic_Risk_Factor_(APOE-ε4_allele)_Yes,1.1424255786590474
Family_History_of_Alzheimers_Yes,1.0818746856040145
Country_Brazil,1.0586650941139966
Country_South_Africa,0.849131456339546
Country_Russia,0.764635627570104
Country_India,0.7249202689118281
Country_Japan,0.4283324601693961
Country_Mexico,0.38572799261429264
Cholesterol_Level,0.3552771997445544
Country_Norway,0.3307788183336893
Country_UK,0.2939017512408649
Marital_Status_Single,0.27201207304608355
Country_Australia,0.25239159519046206
Country_South_Korea,0.2280130781817418
Country_Sweden,0.2193602817523511
Diabetes_Yes,0.2169415134015186
Country_Germany,0.19563041938582476
Country_Italy,0.1949099457579593
Country_France,0.17926198145949343
